date,point,lat,long,elev,live,height,width1,width2,species,repro,notes,plant
8/4/21,DOWN002,42.47351126,-112.091181,1589.112,1,52.8,37.2,32.8,tridentata,11,,1
8/4/21,DOWN003,42.47361142,-112.0913481,1587.311,1,65.5,74.5,45.5,tridentata,57,,1
8/4/21,DOWN004,42.47345584,-112.0913878,1586.516,1,59.5,54,25,tridentata,13,,1
8/4/21,DOWN005,42.47352295,-112.0913976,1586.486,1,84.5,80,97,erna,NA,"crisp, barely alive",1
8/4/21,DOWN006,42.47346052,-112.0917374,1586.411,1,40.3,17,11.5,tridentata,0,,1
8/4/21,DOWN007,42.47352302,-112.0917416,1586.852,1,51.6,69.5,16,tridentata,1,,1
8/4/21,DOWN008,42.47353459,-112.0918031,1587.972,0,NA,NA,NA,tridentata,NA,"dead, removed tag",1
8/4/21,DOWN009,42.47352954,-112.0918305,1588.283,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN010,42.47354323,-112.0918256,1588.424,1,59.5,55,46,tridentata,0,,1
8/4/21,DOWN011,42.47357188,-112.0918299,1588.763,1,58.5,47,34,tridentata,17,,1
8/4/21,DOWN012,42.47355676,-112.0918096,1588.308,0,NA,NA,NA,erna,NA,"dead, removed tag",1
8/4/21,DOWN013,42.47353969,-112.0919417,1589.572,1,52,79,62,erna,NA,,1
8/4/21,DOWN014,42.47347408,-112.0919747,1588.545,1,44.5,42.5,43,erna,NA,,1
8/4/21,DOWN015,42.4733704,-112.0918373,1586.538,1,41.2,13,12.5,tridentata,0,,1
8/4/21,DOWN016,42.47336636,-112.0918255,1586.432,1,56.4,18.2,25,tridentata,1,,1
8/4/21,DOWN017,42.47336825,-112.0917974,1586.342,1,42,26,20,tridentata,0,,1
8/4/21,DOWN018,42.47336291,-112.0917715,1586.155,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN019,42.473377,-112.0917637,1586.215,1,18.1,13.8,10.2,tridentata,0,,1
8/4/21,DOWN020,42.47334813,-112.0917613,1586,1,22,16,9.4,tridentata,0,,1
8/4/21,DOWN021,42.4733315,-112.0917943,1586.005,0,NA,NA,NA,tridentata,NA,removed tag,1
8/4/21,DOWN022,42.47332652,-112.0917971,1585.947,1,29.5,15.3,12.7,tridentata,0,,1
8/4/21,DOWN023,42.4733158,-112.0918569,1585.67,1,60.4,21.5,15.2,tridentata,1,,1
8/4/21,DOWN024,42.47332704,-112.0919221,1585.594,1,33.5,31.3,24.5,tridentata,0,,1
8/4/21,DOWN025,42.47340542,-112.0918766,1587.139,1,72,28.5,23,tridentata,14,,1
8/4/21,DOWN026,42.47342668,-112.0918754,1587.508,1,48.3,34.5,16,tridentata,15,,1
8/4/21,DOWN027,42.47286648,-112.0910972,1586.875,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN028,42.47291391,-112.0911385,1585.64,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN029,42.47297656,-112.091709,1580.768,1,78,41,37,tridentata,40,,1
8/4/21,DOWN030,42.47288512,-112.0920897,1578.812,1,81.5,44,27,tridentata,30,,1
8/4/21,DOWN031,42.47287406,-112.0920937,1578.913,1,7,11,10.5,tridentata,0,mostly bare - just a bit of green @ stalk end  - likely ran over,1
8/4/21,DOWN032,42.47278979,-112.0924553,1577.776,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN033,42.47281081,-112.0924718,1577.269,1,79,51,48,tridentata,27,,1
8/4/21,DOWN034,42.47281256,-112.0924895,1577.199,1,24,30,15,tridentata,0,,1
8/4/21,DOWN035,42.47284258,-112.0925557,1576.561,0,NA,NA,NA,tridentata,NA,"dead, tag not found",1
8/4/21,DOWN036,42.47280498,-112.0928189,1575.35,1,91,92,52,tridentata,79,,1
8/4/21,DOWN037,42.47274716,-112.0928911,1575.119,1,44.3,20.5,16.5,tridentata,0,,1
8/4/21,DOWN038,42.4726786,-112.0929319,1575.238,1,32.2,25,13,tridentata,0,,1
8/4/21,DOWN039,42.4726037,-112.0932515,1573.61,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN040,42.47259675,-112.0934118,1572.47,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN041,42.47259513,-112.0934145,1572.481,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN042,42.47254773,-112.093431,1573.017,1,42.5,28,24.5,tridentata,0,,1
8/4/21,DOWN043,42.47255106,-112.093619,1571.146,1,42.6,28.3,16.5,tridentata,0,,1
8/4/21,DOWN044,42.47255237,-112.0936389,1570.922,1,50,22.7,24.5,tridentata,0,,1
8/4/21,DOWN045,42.47246053,-112.0938742,1570.214,0,NA,NA,NA,tridentata,NA,dead - ran over?,1
8/4/21,DOWN046,42.47245819,-112.0945038,1569.492,1,32.2,52.5,38,teca,NA,,1
8/4/21,DOWN047,42.47250367,-112.094489,1570.485,1,26,57,46,teca,NA,,1
8/4/21,DOWN048,42.47268022,-112.0944851,1573.766,1,28,15,11.5,tridentata,0,,1
8/4/21,DOWN049,42.47274754,-112.0944699,1574.453,1,44.1,14.8,7.3,tridentata,0,,1
8/4/21,DOWN050,42.47290093,-112.0938937,1576.444,1,44.7,32,23.2,tridentata,0,,1
8/4/21,DOWN051,42.47295353,-112.0938676,1576.688,1,42.5,23,19,tridentata,0,,1
8/4/21,DOWN052,42.47316171,-112.0934442,1579.398,1,26,22,7.5,tridentata,0,,1
8/4/21,DOWN053,42.47272158,-112.0917391,1585.462,NA,NA,NA,NA,start_DM1,NA,,0
8/4/21,DOWN054,42.47287486,-112.0918216,1581.273,0,NA,NA,NA,tridentata,NA,dead,1
8/4/21,DOWN055,42.47291934,-112.0918614,1580.367,1,50,51,26,tridentata,5,,1
8/4/21,DOWN056,42.47293833,-112.0918699,1580.06,1,83,59,36,tridentata,25,,1
8/4/21,DOWN057,42.4729429,-112.0918588,1580.057,1,82,43,33,tridentata,17,,1
8/4/21,DOWN058,42.47296331,-112.0918769,1579.45,NA,NA,NA,NA,end_DM1,NA,,0
8/4/21,DOWN059,42.47249383,-112.0928011,1579.973,NA,NA,NA,NA,start_DM2,NA,,0
8/4/21,DOWN060,42.47274192,-112.0929151,1574.841,NA,NA,NA,NA,end_DM2,NA,,0
8/4/21,DOWN061,42.47259397,-112.0940439,1570.996,NA,NA,NA,NA,start_DM3,NA,,0
