"elev","cid","lat","long","burn","cht","n","dist"
1682.99871021436,84,42.5208786537053,-112.102431851989,1,0.0168621352539063,11,50.0000000003609
1683.00265444385,85,42.5208792392244,-112.1023709907,1,0.0013778671875,7,53.1507290643358
1680.50936280566,86,42.5208248461723,-112.103343978907,1,0.0421775927734375,26,36.4005494476179
1680.85310489404,87,42.5208254321752,-112.103283117688,1,0.276633651367187,65,35.3553390585289
1681.12032963477,88,42.5208260181457,-112.103222256468,1,0.0892366577148438,23,35.0000000009313
1681.34905640283,89,42.520826604084,-112.103161395246,1,0.157903680175781,22,35
1681.54555000293,90,42.5208271899899,-112.103100534021,1,0.111972959472656,30,35
1681.72259776611,91,42.5208277758636,-112.103039672796,1,0.0062282197265625,12,35
1681.85611686963,92,42.5208283617049,-112.102978811568,1,0.0091383623046875,31,34.9999999990687
1681.90963714209,93,42.5208289475139,-112.102917950338,1,0.02708955859375,43,35
1681.83437660645,94,42.5208295332905,-112.102857089107,1,0.0006727529296875,2,35.0000000009313
1681.78757786621,95,42.5208301190349,-112.102796227874,1,0.00342767626953125,14,35
1681.80008145459,96,42.520830704747,-112.102735366639,1,0.0017482470703125,10,35.3553390576646
1681.80647236963,97,42.5208312904267,-112.102674505402,1,0.0009263076171875,1,36.4005494467544
1681.78243213916,98,42.5208318760741,-112.102613644163,1,0.00015223486328125,0,38.078865529182
1681.83085532666,99,42.5208324616892,-112.102552782923,1,0.00256431103515625,8,40.3112887408574
1681.91422377686,100,42.520833047272,-112.102491921681,1,0.00080774462890625,2,43.0116263354838
1682.01106439795,101,42.5208336328225,-112.102431060437,1,0.00355244091796875,16,46.0977222869948
1681.97526782764,102,42.5208342183407,-112.102370199191,1,0.00234262939453125,9,49.4974746827291
1680.05159713232,103,42.5207798253029,-112.103343186701,1,0.0696385346679688,23,31.6227766028986
1680.30349146338,104,42.5207804113048,-112.103282325526,1,0.0043714013671875,9,30.4138126526777
1680.51153700049,105,42.5207809972745,-112.103221464349,1,0.0215306069335938,6,29.9999999990687
1680.64507587549,106,42.5207815832118,-112.103160603171,1,0.0101998974609375,8,30
1680.72866628027,107,42.5207821691169,-112.10309974199,1,0.024027505859375,6,30.0000000009313
1680.83377297314,108,42.5207827549896,-112.103038880808,1,0.0265228251953125,57,30.0000000009313
1680.88897463965,109,42.52078334083,-112.102978019624,1,0.0395701630859375,40,30
1680.88362762646,110,42.520783926638,-112.102917158438,1,0.0927792797851563,21,30.0000000009313
1680.78766234375,111,42.5207845124138,-112.102856297251,1,0.0129788334960937,9,30.0000000009313
1680.67965784814,112,42.5207850981572,-112.102795436061,1,0.00354087744140625,18,30.0000000009313
1680.62588439111,113,42.5207856838684,-112.10273457487,1,0.00135207666015625,3,30.4138126514241
1680.695400021,114,42.5207862695472,-112.102673713677,1,0.0284943740234375,28,31.622776600745
1680.71722526074,115,42.5207868551937,-112.102612852482,1,0.001621302734375,2,33.5410196613515
1680.81027718164,116,42.5207874408079,-112.102551991285,1,0.0122512329101562,7,36.0555127541879
1680.92565674365,117,42.5207880263898,-112.102491130087,1,0.0202763979492188,28,39.0512483797569
1681.01242166357,118,42.5207886119393,-112.102430268886,1,0.002694501953125,7,42.4264068710282
1681.04844198535,119,42.5207891974566,-112.102369407684,1,0.00134299755859375,6,46.0977222854922
1679.44992624609,120,42.5207348044331,-112.103342394497,1,0.0149281381835938,30,26.9258240378559
1679.62459451953,121,42.5207353904341,-112.103281533366,1,0.007224708984375,21,25.4950975690027
1679.69394685205,122,42.5207359764029,-112.103220672233,1,0.0383650063476563,12,25.0000000018626
1679.74505618066,123,42.5207365623393,-112.103159811098,1,0.0901029365234375,27,25
1679.73024818359,124,42.5207371482434,-112.103098949961,1,0.006287666015625,27,25
1679.70050621387,125,42.5207377341152,-112.103038088823,1,0.0367647612304687,12,25.0000000009313
1679.68870576904,126,42.5207383199547,-112.102977227682,1,0.0434765395507812,38,25
1679.66064467627,127,42.5207389057618,-112.10291636654,1,0.00570408154296875,24,24.9999999990687
1679.58484431152,128,42.5207394915367,-112.102855505396,1,0.00610074169921875,25,25.0000000009313
1679.51473081885,129,42.5207400772792,-112.10279464425,1,0.0598986088867188,15,24.9999999990687
1679.53635422314,130,42.5207406629894,-112.102733783103,1,0.0052065166015625,21,25.4950975681123
1679.60926801221,131,42.5207412486673,-112.102672921953,1,0.00234545068359375,3,26.9258240348294
1679.69428474951,132,42.5207418343129,-112.102612060802,1,0.00175937744140625,4,29.1547594735078
1679.8399756582,133,42.5207424199262,-112.102551199649,1,0.00105169775390625,0,32.0156211862188
1680.01226991309,134,42.5207430055071,-112.102490338494,1,0.00318002392578125,11,35.3553390593274
1680.12104079102,135,42.5207435910558,-112.102429477337,1,0.0244354189453125,7,39.0512483785793
1680.15604104639,136,42.5207441765721,-112.102368616179,1,0.002486755859375,10,42.426406873045
1678.67085698682,137,42.520689783563,-112.103341602295,1,0.004643146484375,16,22.3606797748677
1678.68820297559,138,42.5206903695631,-112.103280741207,1,0.0648309755859375,10,20.6155281283142
1678.70347486523,139,42.5206909555309,-112.103219880118,1,0.241368706054687,116,19.9999999990687
1678.66399033789,140,42.5206915414664,-112.103159019027,1,0.0121892084960937,53,19.9999999990687
1678.58935743408,141,42.5206921273696,-112.103098157934,1,0.0692717265625,25,19.9999999981374
1678.52653449609,142,42.5206927132405,-112.103037296839,1,0.0525954965820312,20,20
1678.55002460791,143,42.520693299079,-112.102976435742,1,0.00117355712890625,5,19.9999999981374
1678.52904820313,144,42.5206938848852,-112.102915574644,1,0.0934120825195312,26,19.9999999990687
1678.46388383203,145,42.5206944706592,-112.102854713543,1,0.0330174213867188,16,19.9999999990687
1678.43180133398,146,42.5206950564008,-112.102793852441,1,0.0229432993164062,15,19.9999999981374
1678.53894555176,147,42.5206956421101,-112.102732991337,1,0.00858048828125,25,20.615528127326
1678.68989684277,148,42.5206962277871,-112.102672130232,1,0.004080462890625,16,22.3606797749719
1678.82977010791,149,42.5206968134317,-112.102611269124,1,0.00282592822265625,6,24.9999999983003
1678.95545833984,150,42.5206973990441,-112.102550408015,1,0.0056189609375,18,28.2842712472973
1679.14271168066,151,42.5206979846241,-112.102489546903,1,0.0207947680664063,19,32.0156211853643
1679.2811328374,152,42.5206985701719,-112.10242868579,1,0.00322000390625,5,35.3553390614676
