"elev","cid","lat","long","burn","n","cht","dist","confidence","density1","density2","rough1","rough2"
1587.16793730566,129,42.4682878817577,-112.087492053714,1,46,0.0917235708007813,7.07106781252402,0.242514772526469,-0.385973245907498,-0.413671719909496,-0.0273252434478957,-0.243894494841355
1587.95355336084,130,42.4682884587697,-112.087431243093,1,65,0.133633735839844,5.00000000093132,-0.308617199294471,-0.0776423844281527,0.0521487854617634,-0.2286819236183,-0.485063221856642
1588.68708211084,131,42.4682890357494,-112.08737043247,1,47,0.2252349609375,5,-0.0193696658257911,-0.445431925497508,-0.57229345303626,0.164883599085294,0.0984255480289352
1589.20113399316,132,42.4682896126969,-112.087309621844,0,43,0.167046135742187,0,0.144957987738401,-0.404075547836349,-0.486762871096222,-0.319744446075272,-0.339178502661396
1589.30411784961,133,42.4682901896121,-112.087248811218,0,36,0.304369767089844,0,-0.168959565366102,0.45762504664607,0.33793689268056,0.533561003143485,0.122433697450583
1589.15838357861,134,42.4682907664951,-112.087188000589,0,30,0.461639548828125,0,-0.573338433573598,0.825836840711862,0.438512100001595,1.01562487013421,0.638713484536885
1588.85644952686,135,42.4682913433458,-112.087127189958,0,35,0.334166565429687,0,-0.413092037551196,0.419105232481379,0.186127021223695,0.23851526900238,-0.0744668388680571
1588.42310245898,136,42.4682919201643,-112.087066379326,0,22,0.284167159667969,0,0.182114153750345,-0.0387290419606597,-0.240841589027209,0.0722599748870546,-0.0095880118606584
1588.04354094971,137,42.4682924969505,-112.087005568692,0,25,0.3855895234375,0,-0.674729158078084,0.554392794564052,0.324420266251842,1.03916482453249,0.353713769918325
1587.58403506104,138,42.4682930737044,-112.086944758056,0,46,0.0863277446289062,0,0.766218387445915,-0.172988260011196,-0.244091233090756,-0.444812387347172,-0.342080105632121
1587.22851583008,139,42.4682936504261,-112.086883947418,0,43,0.1900075,0,-0.187350762351178,0.375788394479622,0.220586075020364,0.265149508090998,0.117031142362926
1586.91798431055,140,42.4682942271155,-112.086823136779,0,38,0.257330853515625,0,-0.237945531700436,0.233029539582455,0.136639531113984,0.0970021281484078,0.130494829404636
1582.87729089844,141,42.4682382429855,-112.087977758883,1,47,0.0207238212890625,31.6227766006898,0.13360897852646,-0.478403565086577,-0.44381327381411,-0.619500393877275,-0.289854521110445
1583.41697571094,142,42.4682388202546,-112.087916948319,1,72,0.0292356611328125,28.2842712488202,0.133994464221983,-0.370928687616105,-0.311099030665514,-0.539232917797485,-0.474927429476858
1583.91517646582,143,42.4682393974915,-112.087856137753,1,98,0.0423870771484375,25.0000000019791,0.268168434824979,-0.31479489131436,-0.22215380070009,-1.17432234476643,-0.599230940264997
1584.28557128809,144,42.4682399746962,-112.087795327186,1,55,0.0253979150390625,20.6155281298953,0.442282770019023,-0.586391178338436,-0.608147879959276,-0.810574380808353,-0.522563712721959
1584.58119210645,145,42.4682405518685,-112.087734516617,1,49,0.0259482905273438,15.8113883022776,0.37089778655036,-0.469524762283963,-0.463407027290196,-0.429186523900234,-0.517206922953655
1584.94356211963,146,42.4682411290086,-112.087673706046,1,42,0.0231630048828125,11.1803398884881,0.43128410554141,-0.387390809538391,-0.331087548337096,-0.847898300669902,-0.830644605581808
1585.45772563721,147,42.4682417061165,-112.087612895473,1,68,0.0454653530273438,7.07106781211243,0.446250960377232,-0.433598787954522,-0.43825544225419,-0.779196957491088,-0.664472365489005
1586.16778069678,148,42.4682422831921,-112.087552084899,1,42,0.0425482338867188,5,0.597355876508588,-0.587948056733459,-0.595923888341044,-0.130545430793078,-0.197333798755766
1586.93400826416,149,42.4682428602355,-112.087491274323,1,30,0.0993640502929688,4.99999999918509,0.80666335189965,-0.683210630704961,-0.728185460243386,-0.210583948033414,-0.288651444847023
1587.94915389111,150,42.4682434372465,-112.087430463745,0,38,0.181118713378906,0,0.0326607867324221,-0.13893082700272,-0.179485644137795,0.304531459451635,-0.0471245633459118
1588.64848363574,151,42.4682440142254,-112.087369653165,0,36,0.561624612792969,0,-0.776921507236301,0.760400552376384,0.489429209342941,1.53646585692598,1.27226053056234
1588.56430773926,152,42.468244591172,-112.087308842583,0,46,0.368429344238281,0,-0.63726976816614,0.869963715074129,0.762969663998034,0.836789840438652,0.70206038723149
1588.32661597607,153,42.4682451680863,-112.087248032,0,53,0.16892487890625,0,0.287467211786174,0.458646209504799,0.252487256080291,-0.231420192159317,-0.605981631333665
1588.0775553374,154,42.4682457449684,-112.087187221415,0,26,0.243813481445313,0,-0.0936919620616181,0.553516691408181,0.408703044646499,-0.232614555615415,-0.372178158246921
1587.78824204736,155,42.4682463218182,-112.087126410828,0,44,0.093326341796875,0,0.737807757010092,-0.282555731412986,-0.296126633433851,-0.466933638216118,-0.530266077261803
1587.36780886768,156,42.4682468986357,-112.087065600239,0,26,0.0526761162109375,0,0.899146299117568,-0.462139643550374,-0.539982564025803,-0.310333297524889,-0.156582029276546
1586.94806240771,157,42.468247475421,-112.087004789649,0,41,0.157746535644531,0,0.354995512795135,-0.044698033298037,-0.131141973944684,-0.219760446764544,-0.285934026855745
1586.54970594482,158,42.468248052174,-112.086943979057,0,42,0.301633241210937,0,-0.419203902604928,0.806584114802925,0.48172259034035,0.524350399772544,0.496406766707665
1586.12159343994,159,42.4682486288948,-112.086883168462,0,42,0.273370819824219,0,-0.456740534175081,0.133711038869674,0.102768887671799,0.371092004490369,0.0644952117693918
1585.80867332227,160,42.4682492055834,-112.086822357867,0,37,0.14067408203125,0,0.38972938649066,-0.18189865997681,-0.194040861541411,0.239444053401187,-0.166431788410378
1582.44143076807,161,42.4681932214702,-112.087976979144,1,16,0.00900330322265625,26.9258240355212,0.532161939350373,-0.73560878059946,-0.761439051133937,-0.216697379985138,-0.0935890296751845
1582.93594980518,162,42.4681937987384,-112.087916168624,1,26,0.0434919233398438,25.0000000004889,0.354052487607075,-0.599514054625639,-0.654461690093533,-0.410536770708739,-0.435394059470665
1583.51858350537,163,42.4681943759744,-112.087855358102,1,36,0.076543109375,21.2132034381894,0.33605301345782,-0.53583571754063,-0.615967822437545,-0.300962068311067,-0.333947363211849
1583.87120373926,164,42.4681949531781,-112.087794547578,1,62,0.0226901850585937,18.0277563800321,0.455305158335442,-0.488342309084328,-0.424989123722301,-1.29455905657873,-0.957062106366996
