"id","type","transect","area","height","lat","long","y","ht_true","z","cellid"
"DAKAS1","segment",0,9.9999998383e-05,0.1212158203125,42.4685791822575,-112.087633517877,1,NA,101,7
"DAKAS2","segment",0,9.9999997474e-05,0.21923828125,42.4685793750093,-112.087613207036,1,NA,101,7
"DAKAS3","segment",0,9.9999997474e-05,0.1456298828125,42.4685797905097,-112.087569423188,1,NA,101,8
"DAKAS4","segment",0,9.9999998383e-05,0.30029296875,42.4685813381018,-112.087406328343,1,NA,101,10
"DAKAS5","segment",0,9.9999998383e-05,0.59130859375,42.4685822231601,-112.08731304441,1,NA,101,12
"DAKAS6","segment",0,9.9999998383e-05,0.1656494140625,42.4685822877767,-112.087306233588,1,NA,101,12
"DAKAS7","segment",0,9.9999997474e-05,0.126953125,42.4685827977727,-112.087252476744,1,NA,101,13
"DAKAS8","segment",0,9.9999997474e-05,0.1375732421875,42.4685829419977,-112.087237274016,1,NA,101,13
"DAKAS9","segment",1,9.9999997474e-05,0.1705322265625,42.4685831116038,-112.087219395608,1,NA,0,14
"DAKAS10","segment",0,9.9999997474e-05,0.218017578125,42.4685833954282,-112.087189476639,1,NA,101,14
"DAKAS11","segment",0,9.9999997474e-05,0.1326904296875,42.4685834646524,-112.08718217933,1,NA,101,14
"DAKAS12","segment",0,9.9999997474e-05,0.1142578125,42.4685835373374,-112.087174517155,1,NA,101,14
"DAKAS13","segment",0,9.9999997474e-05,0.1400146484375,42.4685840080468,-112.087124895449,1,NA,101,15
"DAKAS14","segment",0,0.060699999961798,0.14697265625,42.4685827722958,-112.087236176303,1,NA,101,13
"DAKAS15","segment",0,0.0427000000509,0.160888671875,42.4685813714627,-112.08737433713,1,NA,101,11
"DAKAS16","segment",1,0.012200000011944,0.2149658203125,42.4685828933944,-112.087213917951,1,NA,0,14
"DAKAS17","segment",0,0.059499999987565,0.1856689453125,42.4685777532291,-112.087746133424,1,NA,101,5
"DAKAS18","segment",0,0.042999999968742,0.163330078125,42.4685853528625,-112.086945132145,1,NA,101,18
"DAKAS19","segment",0,0.024199999985285,0.171142578125,42.4685825183197,-112.087234468922,1,NA,101,13
"DAKAS20","segment",0,0.133800000101473,0.1876220703125,42.4685792213978,-112.087572454379,1,NA,101,8
"DAKAS21","segment",0,0.207100000074206,0.74755859375,42.4685801700638,-112.087472481255,1,NA,101,9
"DAKAS22","segment",0,0.100200000143559,0.135009765625,42.4685777289698,-112.087720223304,1,NA,101,5
"DAKAS23","segment",0,0.019500000013068,0.167724609375,42.4685796541705,-112.087517358143,1,NA,101,9
"DAKAS24","segment",1,0.106600000011895,0.115478515625,42.4685825032241,-112.087217073885,1,NA,0,14
"DAKAS25","segment",0,0.030700000046636,0.1053466796875,42.4685789755251,-112.087579383704,1,NA,101,8
"DAKAS26","segment",0,0.032799999951749,0.1329345703125,42.4685827535379,-112.087181193888,1,NA,101,14
"DAKAS27","segment",0,0.117300000048999,0.1376953125,42.4685826854158,-112.087178881515,1,NA,101,14
"DAKAS28","segment",0,0.053499999971791,0.1351318359375,42.4685836175272,-112.087071123017,1,NA,101,16
"DAKAS29","segment",0,0.036700000061501,0.1019287109375,42.4685838540157,-112.087046190542,1,NA,101,16
"DAKAS30","segment",0,0.029900000055932,0.171875,42.4685848056833,-112.086945852528,1,NA,101,18
"DAKAS31","segment",0,0.014600000021346,0.1112060546875,42.4685850156151,-112.086923717353,1,NA,101,18
"DAKAS32","segment",0,0.07669999994323,0.116455078125,42.4685815361506,-112.087281040728,1,NA,101,13
"DAKAS33","segment",0,0.154299999998329,0.2239990234375,42.4685823241415,-112.087188484964,1,NA,101,14
"DAKAS34","segment",0,0.055800000001909,0.1956787109375,42.468583337076,-112.087081701,1,NA,101,16
"DAKAS35","segment",0,0.00809999996909,0.1087646484375,42.4685847374117,-112.086924564032,1,NA,101,18
"DAKAS36","segment",0,0.163099999932456,0.200439453125,42.4685781674994,-112.087607590608,1,NA,101,7
