"elev","cid","lat","long","burn","cht","n","dist"
1308.55261556885,203,43.300793601029,-116.989853470174,1,0.009776259765625,6,58.3095189474547
1308.52775599609,204,43.3007935955442,-116.989791825212,1,0.0069604091796875,0,53.8516480721449
1308.50144157471,205,43.3007935900261,-116.989730180251,1,0.00837086474609375,2,49.2442890085668
1308.49682989258,206,43.3007935844748,-116.989668535289,1,0.00862858349609375,3,44.7213595512974
1308.47546347314,207,43.3007935788904,-116.989606890327,1,0.00602041943359375,2,40.3112887424169
1308.4611570835,208,43.3007935732727,-116.989545245366,1,0.0032875185546875,0,36.0555127538488
1308.44631853906,209,43.3007935676217,-116.989483600404,1,0.0076590498046875,5,32.0156211880097
1308.43290521387,210,43.3007935619376,-116.989421955443,1,-0.0013487587890625,1,28.2842712482851
1308.40658316064,211,43.3007935562202,-116.989360310481,1,-0.0070907578125,0,25.0000000006985
1308.37919321533,212,43.3007935504696,-116.98929866552,1,-0.0126667866210938,1,20.6155281276365
1308.35570961279,213,43.3007935446857,-116.989237020558,1,-0.0125291362304687,1,15.8113883000688
1308.33155175342,214,43.3007935388687,-116.989175375597,1,-0.0132585361328125,0,11.1803398871866
1308.2890247627,215,43.3007935330184,-116.989113730635,1,-0.008763619140625,1,7.07106781021911
1308.25725693701,216,43.3007935271349,-116.989052085674,1,-0.0071278173828125,0,5.00000000040745
1308.21679601514,217,43.3007935212182,-116.988990440713,0,0.0039802216796875,4,0
1308.18519439648,218,43.3007935152683,-116.988928795751,0,-0.00096880322265625,3,0
1308.16924788818,219,43.3007935092851,-116.98886715079,0,0.0020478271484375,2,0
1308.18822091064,220,43.3007935032688,-116.988805505828,0,0.0252204376220703,2,0
1308.72569335986,221,43.3007485888222,-116.989976767493,1,0.0137179780273437,2,69.4622199499976
1308.69924468408,222,43.3007485834039,-116.989915122577,1,0.0181092778320312,6,65.0000000012537
1308.6785134375,223,43.3007485779523,-116.989853477661,1,0.0126335703125,3,60.4152298674189
1308.64314016553,224,43.3007485724675,-116.989791832745,1,0.0131679331054687,4,55.9016994380154
1308.6165218291,225,43.3007485669494,-116.989730187829,1,0.00950294189453125,0,51.4781507066989
1308.59961862158,226,43.3007485613982,-116.989668542913,1,0.0077540224609375,2,47.1699056615664
1308.58572643945,227,43.3007485558137,-116.989606897996,1,0.0090067958984375,3,43.0116263353485
1308.56808233838,228,43.300748550196,-116.98954525308,1,0.0156008271484375,6,39.0512483807257
1308.5571782832,229,43.300748544545,-116.989483608164,1,0.0155145849609375,9,35.3553390610972
1308.532853375,230,43.3007485388609,-116.989421963248,1,0.0121704682617187,6,31.6227766009107
1308.50117010107,231,43.3007485331435,-116.989360318332,1,0.00803971240234375,2,26.9258240339971
1308.47929995215,232,43.3007485273929,-116.989298673416,1,0.00608419970703125,9,22.3606797746335
1308.44991624072,233,43.3007485216091,-116.9892370285,1,0.00338917919921875,4,18.0277563758024
1308.42757328906,234,43.3007485157921,-116.989175383584,1,-0.00340482666015625,1,14.1421356224139
1308.40852651465,235,43.3007485099418,-116.989113738668,1,-0.00785263232421875,3,10.0000000021537
1308.37800077979,236,43.3007485040583,-116.989052093752,1,-0.0119906611328125,3,5.00000000186265
1308.32764165039,237,43.3007484981416,-116.988990448836,0,0.00020277490234375,3,0
1308.30128065918,238,43.3007484921917,-116.98892880392,0,0.00413407763671875,9,0
1308.28940998145,239,43.3007484862086,-116.988867159005,0,0.0024642333984375,8,0
1308.29182007446,240,43.3007484801922,-116.988805514089,0,-0.00776158447265625,1,0
1308.86453817285,241,43.3007035657452,-116.989976774889,1,0.0081734658203125,9,71.5891053174469
1308.82451457812,242,43.3007035603268,-116.989915130019,1,0.01799696484375,8,67.0820393256705
1308.79477653955,243,43.3007035548752,-116.989853485148,1,0.0157523383789063,5,62.6498204301695
1308.75804205518,244,43.3007035493904,-116.989791840277,1,0.0189336240234375,9,58.309518949591
1308.72728150537,245,43.3007035438724,-116.989730195407,1,0.0166047475585938,4,54.0832691331222
1308.71515335645,246,43.3007035383211,-116.989668550536,1,0.017394623046875,7,50.0000000011642
1308.69437371045,247,43.3007035327366,-116.989606905665,1,0.019803330078125,14,45.2769256890094
1308.67100073145,248,43.300703527119,-116.989545260795,1,0.0230650932617187,13,40.3112887416083
1308.65815577002,249,43.300703521468,-116.989483615924,1,0.0238364399414062,15,35.3553390599201
1308.63593188428,250,43.3007035157839,-116.989421971054,1,0.0151771655273437,6,30.4138126509552
1308.61085078809,251,43.3007035100665,-116.989360326183,1,0.0134497250976563,4,25.4950975671306
1308.58642949756,252,43.3007035043159,-116.989298681313,1,0.0129325717773438,7,20.6155281270154
1308.55878674902,253,43.3007034985321,-116.989237036442,1,0.0107121909179687,6,15.8113883006946
1308.52262229785,254,43.3007034927151,-116.989175391572,1,0.0095643134765625,5,11.1803398863536
1308.47315343213,255,43.3007034868649,-116.989113746701,1,0.00709524853515625,4,7.07106781207127
1308.46602623145,256,43.3007034809814,-116.989052101831,1,0.0137044453125,13,4.99999999918509
