id,type,transect,area,height,lat,long
KOES5154,segment,0,0.0222000000321714,0.110595703125,42.5205405470082,-112.102730081654
KOES5155,segment,0,0.00510000001486333,0.1051025390625,42.5205349469391,-112.103283789789
KOES5156,segment,0,0.0710000000585751,0.1728515625,42.5205401306148,-112.102735917972
KOES5157,segment,0,0.0458000000071479,0.1767578125,42.5205401435001,-112.102734579031
KOES5158,segment,0,0.0174000000370143,0.168212890625,42.5205342431769,-112.10332882213
KOES5159,segment,0,0.0357000000149128,0.1226806640625,42.5205409414775,-112.102632938069
KOES5160,segment,0,1.94980000107716,1.85888671875,42.5205382687921,-112.102882584947
KOES5161,segment,0,0.0856000001149368,0.2926025390625,42.5205371055639,-112.102994080618
KOES5162,segment,0,0.011100000013812,0.100830078125,42.5205428966717,-112.102392287499
KOES5163,segment,0,0.0487999999691056,0.167236328125,42.52053354567,-112.103354497522
KOES5164,segment,0,0.100700000170036,0.2060546875,42.5205371608071,-112.10297898552
KOES5165,segment,0,0.140800000266609,0.1788330078125,42.5205377235199,-112.102901810672
KOES5166,segment,0,0.0549000000887645,0.1197509765625,42.5205392370702,-112.102744545976
KOES5167,segment,0,0.0742000001027918,0.109375,42.5205392815832,-112.102739920543
KOES5168,segment,0,0.0621999998838874,0.157470703125,42.520533521671,-112.103328931176
KOES5169,segment,0,0.0602999998709493,0.1185302734375,42.5205347475286,-112.103201610096
KOES5170,segment,0,0.0480000000775362,0.1405029296875,42.5205333615117,-112.103326858736
KOES5171,segment,0,0.0446000000592903,0.177978515625,42.5205372977452,-112.102908620763
KOES5172,segment,0,0.175899999615012,0.2701416015625,42.5205363934315,-112.102993215894
KOES5173,segment,0,0.0614999998324492,0.1951904296875,42.5205365211416,-112.102979948208
KOES5174,segment,0,0.0320000000633627,0.1728515625,42.5205403482162,-112.102582282752
KOES5175,segment,0,0.175199999954202,0.34619140625,42.5205372922241,-112.102890481033
KOES5176,segment,0,0.0806999999272193,0.218017578125,42.5205361934298,-112.102995281998
KOES5177,segment,0,0.0264999999089923,0.10205078125,42.5205359323241,-112.10301305181
KOES5178,segment,0,0.0871999999908439,0.109619140625,42.5205360518348,-112.103000636178
KOES5179,segment,0,0.0396000000182539,0.1217041015625,42.5205363025686,-112.102974587693
KOES5180,segment,0,0.0411000000749482,0.2708740234375,42.5205337861732,-112.103207923791
KOES5181,segment,0,0.0665000000076361,0.2138671875,42.5205367119724,-112.102903984244
KOES5182,segment,0,0.0647000000294611,0.14501953125,42.5205323898047,-112.103324893758
KOES5183,segment,0,0.0920999999216292,0.214599609375,42.5205363236878,-112.102906899235
KOES5184,segment,0,0.0303999999582629,0.1519775390625,42.520532189797,-112.103326959861
KOES5185,segment,0,0.0686000001187494,0.123779296875,42.52053512312,-112.103012915833
KOES5186,segment,0,0.102800000002389,0.106201171875,42.520535396118,-112.102984554633
KOES5187,segment,0,0.0665999999619089,0.3663330078125,42.520533175803,-112.10320584343
KOES5188,segment,0,0.0384000000558444,0.619140625,42.5205377369715,-112.102731980116
KOES5189,segment,0,0.0440000000426153,0.1007080078125,42.5205381150445,-112.102636540641
KOES5190,segment,0,0.0844999999007996,0.1788330078125,42.520532476563,-112.103203639763
KOES5191,segment,0,0.0234000000264132,0.1260986328125,42.5205338373933,-112.103043572325
KOES5192,segment,0,0.054400000019541,0.1204833984375,42.5205309454173,-112.103334607742
KOES5193,segment,0,1.64050000017005,1.9185791015625,42.5205353934801,-112.102872551488
KOES5194,segment,0,0.107500000152413,0.2410888671875,42.5205351183348,-112.102891781964
KOES5195,segment,0,0.0794999998934145,0.1158447265625,42.5205321531085,-112.103181111711
KOES5196,segment,0,0.271099999719809,0.230712890625,42.5205331154302,-112.103006306421
KOES5197,segment,0,0.0708000000449829,0.2581787109375,42.5205336276113,-112.102943739789
KOES5198,segment,0,0.136999999931959,0.2288818359375,42.520533853064,-112.102892246679
KOES5199,segment,0,0.0332999999604908,0.190673828125,42.5205325890625,-112.103014210424
KOES5200,segment,0,0.118799999973817,0.2969970703125,42.520533161,-112.102945435976
KOES5201,segment,0,0.110599999999977,0.11865234375,42.5205351314624,-112.102740699754
KOES5202,segment,0,0.125399999736146,0.214599609375,42.5205324312409,-112.10301189454
KOES5203,segment,0,1.72809999984747,2.053955078125,42.5205338513858,-112.102854993445
KOES5204,segment,0,0.0579999999090433,0.1221923828125,42.5205348449376,-112.10274239911
KOES5205,segment,0,0.0722000000141634,0.1044921875,42.5205288388865,-112.103356971292
KOES5206,segment,0,0.0945000001056542,0.2432861328125,42.5205331267041,-112.102902216787
KOES5207,segment,0,0.16270000012446,0.1893310546875,42.5205286025447,-112.103362810772
