id,type,transect,area,height,lat,long,y,ht_true,z
KOES11849,segment,0,0.053099999953702,0.167724609375,42.5199691907672,-112.102808539663,1,,101
KOES11850,segment,0,0.059200000061537,0.1114501953125,42.5199669637848,-112.1030305568,1,,101
KOES11851,segment,0,0.020699999949102,0.142333984375,42.5199707759128,-112.102625103248,1,,101
KOES11852,segment,0,0.118999999969674,0.1318359375,42.5199671445745,-112.102993063631,1,,101
KOES11853,segment,0,0.007100000015271,0.21337890625,42.5199682893763,-112.102864768336,1,,101
KOES11854,segment,0,0.082599999994272,0.1251220703125,42.5199716323399,-112.102517377164,1,,101
KOES11855,segment,0,0.029799999952957,0.11962890625,42.5199657728598,-112.103116850497,1,,101
KOES11856,segment,0,0.012500000063028,0.116455078125,42.5199677777502,-112.102899212152,1,,101
KOES11857,segment,0,0.022499999977754,0.18603515625,42.5199678187542,-112.102894951924,1,,101
KOES11858,segment,0,0.071700000044984,0.197265625,42.5199712262237,-112.102540866115,1,,101
KOES11859,segment,0,0.08579999993799,0.1893310546875,42.5199711830284,-112.102535995699,1,,101
KOES11860,segment,0,0.071699999923567,0.1356201171875,42.519972121087,-112.102438497326,1,,101
KOES11861,segment,0,0.017699999970318,0.20751953125,42.5199710320861,-112.102542323598,1,,101
KOES11862,segment,0,0.10130000017034,0.1568603515625,42.5199715497296,-112.102488522999,1,,101
KOES11863,segment,0,0.033599999949274,0.1314697265625,42.5199700204409,-112.102628742205,1,,101
KOES11864,segment,0,0.135399999909168,0.1488037109375,42.5199660504786,-112.103031879889,1,,101
KOES11865,segment,0,0.032799999920826,0.1259765625,42.5199717468672,-112.102439951644,1,,101
KOES11866,segment,0,0.020699999981389,0.1644287109375,42.5199696810648,-112.102645293068,1,,101
KOES11867,segment,0,0.074399999864909,0.1002197265625,42.5199670724786,-112.102906991196,1,,101
KOES11868,segment,0,0.018099999963397,0.124267578125,42.5199695700864,-112.102638108374,1,,101
KOES11869,segment,0,0.158099999862316,0.198486328125,42.5199718514741,-112.102400996233,1,,101
KOES11870,segment,0,0.015700000012657,0.1185302734375,42.5199695198677,-112.102633968283,1,,101
KOES11871,segment,0,0.041899999955149,0.106689453125,42.5199668843618,-112.10289846599,1,,101
KOES11872,segment,0,0.049799999962033,0.11474609375,42.5199702262563,-112.102551196551,1,,101
KOES11873,segment,0,0.027400000088164,0.1829833984375,42.5199703726525,-112.10253598145,1,,101
KOES11874,segment,0,0.024400000005244,0.18408203125,42.5199695470961,-112.102612420534,1,,101
KOES11875,segment,0,0.06820000000107,0.1387939453125,42.5199683444689,-112.102718679627,1,,101
KOES11876,segment,0,0.322399999883601,0.3228759765625,42.5199652869702,-112.103026996803,1,,101
KOES11877,segment,0,0.029500000065127,0.2037353515625,42.5199693003956,-112.102609981368,1,,101
KOES11878,segment,0,0.075000000026193,0.20166015625,42.5199663615169,-112.10290600476,1,,101
KOES11879,segment,0,0.068500000088534,0.101806640625,42.5199673057474,-112.102807897804,1,,101
KOES11880,segment,0,0.010100000003604,0.1593017578125,42.5199688050972,-112.102652095183,1,,101
KOES11881,segment,0,0.031399999973928,0.1162109375,42.5199692302648,-112.102607910531,1,,101
KOES11882,segment,0,0.084100000116905,0.1419677734375,42.5199652017925,-112.103017134252,1,,101
KOES11883,segment,0,0.02720000005047,0.1341552734375,42.5199666381652,-112.10286790457,1,,101
KOES11884,segment,0,0.023400000047332,0.1187744140625,42.5199689317408,-112.102629575251,1,,101
KOES11885,segment,0,0.003800000015417,0.1014404296875,42.5199690020162,-112.102622272003,1,,101
KOES11886,segment,0,0.044599999986531,0.1651611328125,42.5199698593385,-112.102533172372,1,,101
KOES11887,segment,0,0.047000000085973,0.1658935546875,42.5199706558263,-112.102441028134,1,,101
KOES11888,segment,0,0.008799999985058,0.1033935546875,42.5199671351948,-112.102797546785,1,,101
KOES11889,segment,0,0.029800000049818,0.1593017578125,42.5199685970497,-112.10264563923,1,,101
KOES11890,segment,0,0.020599999988917,0.1846923828125,42.5199696558317,-112.102535603622,1,,101
KOES11891,segment,0,0.065200000055484,0.132568359375,42.5199696138074,-112.102530611486,1,,101
KOES11892,segment,0,0.035499999981312,0.112060546875,42.5199684651342,-112.102631271425,1,,101
KOES11893,segment,0,0.012299999998504,0.1363525390625,42.5199697405621,-112.102498717467,1,,101
KOES11894,segment,0,0.041199999939181,0.1243896484375,42.5199672472617,-112.102739112886,1,,101
KOES11895,segment,0,0.033300000053714,0.171875,42.5199692372441,-112.102532309244,1,,101
